time,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
4:00:00,3,0,0,1,23.78,27.275,94,6.0032,3,4,7
9:00:00,4,0,0,1,12.3,13.635,56,19.9995,30,111,141
7:00:00,1,0,1,1,9.02,10.605,64,16.9979,2,108,110
16:00:00,2,0,1,1,20.5,24.24,22,27.9993,184,352,536
22:00:00,1,0,1,3,6.56,8.335,80,11.0014,4,42,46
11:00:00,1,0,1,1,17.22,21.21,38,19.9995,8,93,101
12:00:00,2,0,1,2,25.42,30.305,65,22.0028,60,203,263
14:00:00,3,0,1,1,33.62,37.88,46,0,99,188,287
12:00:00,4,0,1,2,22.14,25.76,68,0,28,148,176
4:00:00,2,0,1,1,22.14,25.76,60,16.9979,0,3,3
14:00:00,3,0,0,2,29.52,34.09,66,11.0014,204,176,380
20:00:00,4,0,1,3,22.14,25.76,68,0,11,251,262
14:00:00,3,0,1,1,36.9,38.635,25,19.0012,45,114,159
18:00:00,2,0,1,3,22.14,25.76,52,23.9994,85,385,470
3:00:00,3,0,1,1,27.06,31.06,74,7.0015,1,10,11
11:00:00,2,0,0,1,18.86,22.725,82,7.0015,109,141,250
2:00:00,2,0,0,1,21.32,25,59,7.0015,22,67,89
19:00:00,4,0,0,1,16.4,20.455,87,0,34,212,246
5:00:00,1,0,1,1,19.68,23.485,88,11.0014,0,18,18
12:00:00,4,0,0,2,16.4,20.455,87,15.0013,122,364,486
22:00:00,4,0,0,1,12.3,16.665,65,0,10,72,82
7:00:00,4,0,1,2,12.3,14.395,65,12.998,7,403,410
13:00:00,3,1,0,1,36.9,40.91,35,0,177,322,499
0:00:00,2,0,0,1,12.3,14.395,65,12.998,8,31,39
3:00:00,4,0,0,2,14.76,18.18,93,7.0015,6,23,29
4:00:00,2,0,1,1,22.14,25.76,64,6.0032,2,6,8
22:00:00,2,0,1,2,21.32,25,83,15.0013,25,107,132
19:00:00,3,0,1,1,30.34,34.09,55,16.9979,90,282,372
18:00:00,4,0,0,1,9.84,11.365,48,12.998,12,151,163
15:00:00,3,0,0,1,31.16,34.09,45,22.0028,205,223,428
23:00:00,2,0,1,1,24.6,28.79,78,0,16,79,95
9:00:00,4,0,1,1,22.14,25.76,60,19.9995,32,187,219
21:00:00,2,0,1,3,19.68,23.485,41,27.9993,14,151,165
23:00:00,1,0,1,1,5.74,5.305,59,27.9993,1,19,20
12:00:00,4,0,1,1,14.76,16.665,43,23.9994,20,147,167
18:00:00,3,0,1,1,30.34,33.335,51,15.0013,80,768,848
18:00:00,1,0,1,1,8.2,12.88,47,0,5,134,139
16:00:00,1,0,0,2,18.04,21.97,54,19.9995,68,147,215
21:00:00,1,0,0,1,10.66,15.15,41,0,9,42,51
19:00:00,4,0,1,1,14.76,17.425,46,15.0013,26,306,332
18:00:00,3,0,1,2,21.32,25,52,11.0014,55,427,482
1:00:00,2,0,1,1,18.86,22.725,59,6.0032,3,12,15
17:00:00,1,0,1,2,10.66,11.365,44,22.0028,21,364,385
17:00:00,2,0,1,1,28.7,31.82,39,22.0028,72,529,601
7:00:00,3,0,1,1,21.32,25,68,15.0013,20,427,447
6:00:00,3,0,1,1,30.34,34.85,66,12.998,4,127,131
11:00:00,3,0,1,2,29.52,34.85,74,0,24,103,127
15:00:00,3,0,1,1,32.8,35.605,41,16.9979,56,220,276
21:00:00,4,0,0,1,16.4,20.455,66,0,51,169,220
13:00:00,1,0,1,1,17.22,21.21,30,23.9994,13,80,93
10:00:00,2,0,0,1,23.78,27.275,53,15.0013,186,235,421
12:00:00,3,1,0,2,29.52,34.09,70,12.998,141,212,353
16:00:00,4,0,0,1,16.4,20.455,40,22.0028,119,316,435
0:00:00,3,0,1,2,28.7,33.335,84,16.9979,10,19,29
17:00:00,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
22:00:00,4,0,1,1,26.24,31.06,47,8.9981,29,203,232
21:00:00,1,0,1,1,13.94,16.665,46,8.9981,5,58,63
1:00:00,4,0,0,2,10.66,12.88,70,11.0014,11,55,66
0:00:00,3,0,1,1,27.06,31.06,65,7.0015,14,33,47
17:00:00,3,0,1,1,30.34,34.09,55,19.0012,102,749,851
17:00:00,2,0,0,1,28.7,31.82,34,16.9979,192,386,578
18:00:00,4,0,1,1,17.22,21.21,71,11.0014,31,448,479
7:00:00,3,0,0,1,28.7,33.335,84,12.998,11,28,39
18:00:00,1,0,1,2,7.38,8.335,47,19.9995,2,168,170
5:00:00,3,0,1,2,29.52,34.09,70,7.0015,5,35,40
14:00:00,4,0,0,1,16.4,20.455,40,12.998,149,360,509
22:00:00,1,0,1,1,13.12,14.395,49,27.9993,3,106,109
13:00:00,4,0,1,1,22.96,26.515,56,19.9995,20,153,173
7:00:00,1,0,1,1,13.12,16.665,76,8.9981,12,128,140
12:00:00,2,0,1,1,27.06,31.06,54,6.0032,72,137,209
20:00:00,2,0,1,1,30.34,34.09,56,8.9981,45,301,346
10:00:00,3,1,0,2,30.34,35.605,74,15.0013,135,224,359
1:00:00,1,0,0,1,4.1,3.03,42,31.0009,0,12,12
9:00:00,3,0,0,1,28.7,33.335,74,16.9979,82,99,181
8:00:00,2,0,1,2,17.22,21.21,82,7.0015,26,651,677
19:00:00,2,0,1,2,30.34,35.605,79,11.0014,16,248,264
10:00:00,2,0,1,1,22.96,26.515,52,16.9979,43,162,205
7:00:00,2,0,0,1,13.12,15.15,33,19.0012,14,40,54
6:00:00,1,0,0,2,5.74,6.06,50,19.0012,1,7,8
13:00:00,1,0,1,1,13.94,15.91,42,15.0013,13,74,87
22:00:00,4,0,1,1,14.76,18.18,81,6.0032,6,102,108
6:00:00,1,0,0,1,10.66,13.635,75,7.0015,0,7,7
12:00:00,1,0,1,2,25.42,31.06,50,8.9981,59,206,265
12:00:00,2,0,1,2,18.86,22.725,55,0,39,114,153
5:00:00,1,0,1,1,8.2,9.09,64,19.0012,1,1,2
21:00:00,2,0,0,3,22.14,25.76,94,15.0013,15,44,59
12:00:00,3,0,0,1,29.52,34.09,62,15.0013,144,260,404
9:00:00,4,0,0,1,14.76,16.665,76,23.9994,19,96,115
1:00:00,1,0,1,1,8.2,9.85,44,16.9979,0,6,6
18:00:00,2,0,1,1,22.96,26.515,30,0,47,290,337
11:00:00,2,1,0,1,26.24,30.305,65,16.9979,115,136,251
13:00:00,4,0,1,2,24.6,27.275,88,8.9981,6,148,154
14:00:00,1,0,1,2,18.04,21.97,44,19.0012,29,176,205
16:00:00,1,0,1,2,13.94,15.91,42,16.9979,28,240,268
8:00:00,3,0,1,1,27.88,31.82,65,8.9981,49,653,702
11:00:00,4,0,0,2,13.12,15.91,81,11.0014,81,274,355
17:00:00,2,0,1,3,26.24,31.06,50,19.0012,85,484,569
17:00:00,2,0,1,1,31.16,33.335,29,12.998,114,679,793
6:00:00,1,0,1,1,12.3,15.15,70,8.9981,3,44,47
23:00:00,2,0,1,1,25.42,31.06,46,12.998,14,75,89
18:00:00,2,0,0,1,23.78,27.275,37,11.0014,114,175,289
11:00:00,2,0,1,2,17.22,21.21,38,15.0013,109,159,268
0:00:00,1,0,1,1,3.28,3.03,42,22.0028,0,9,9
7:00:00,3,0,1,2,20.5,24.24,82,15.0013,20,312,332
23:00:00,1,0,1,3,13.94,16.665,93,12.998,1,17,18
8:00:00,3,0,1,1,26.24,30.305,65,16.9979,50,514,564
8:00:00,2,0,0,1,21.32,25,59,0,33,64,97
0:00:00,3,0,0,1,25.42,30.305,65,12.998,42,68,110
19:00:00,2,0,1,1,23.78,27.275,60,8.9981,65,345,410
10:00:00,3,0,0,1,31.16,34.85,55,8.9981,95,173,268
20:00:00,2,0,1,1,24.6,31.06,33,19.9995,29,136,165
10:00:00,2,0,0,1,17.22,21.21,28,16.9979,187,176,363
1:00:00,4,0,1,1,9.84,14.395,75,0,1,14,15
6:00:00,3,0,1,1,28.7,32.575,65,19.0012,8,87,95
12:00:00,4,0,1,2,19.68,23.485,69,12.998,43,217,260
17:00:00,3,0,0,2,22.96,26.515,64,12.998,95,230,325
22:00:00,3,0,1,2,26.24,30.305,73,11.0014,33,114,147
1:00:00,1,0,0,1,9.84,12.12,52,11.0014,4,57,61
20:00:00,3,0,0,3,31.16,36.365,67,16.9979,67,140,207
12:00:00,3,0,1,1,32.8,37.12,49,7.0015,75,209,284
12:00:00,2,0,0,1,26.24,31.06,36,11.0014,206,353,559
20:00:00,2,0,0,3,22.14,25.76,94,8.9981,42,115,157
0:00:00,4,0,0,1,9.84,12.12,60,8.9981,12,52,64
11:00:00,4,0,1,3,18.04,21.97,100,6.0032,3,47,50
17:00:00,3,0,0,1,29.52,34.09,70,15.0013,170,201,371
10:00:00,2,0,1,1,33.62,37.12,43,15.0013,27,63,90
11:00:00,4,0,1,3,21.32,25,94,16.9979,33,116,149
11:00:00,1,0,1,1,9.02,11.365,47,8.9981,12,52,64
20:00:00,4,0,0,3,14.76,18.18,87,7.0015,8,58,66
3:00:00,2,0,1,1,24.6,29.545,73,6.0032,1,1,2
7:00:00,3,0,1,1,30.34,34.09,58,19.0012,23,450,473
23:00:00,3,0,1,1,27.06,30.305,83,0,19,152,171
1:00:00,1,0,0,1,13.94,16.665,42,12.998,10,62,72
3:00:00,3,0,1,1,27.88,31.82,65,11.0014,2,8,10
4:00:00,2,0,1,1,19.68,23.485,94,0,2,3,5
7:00:00,2,0,1,2,20.5,24.24,88,15.0013,12,164,176
20:00:00,1,0,1,1,9.02,10.605,37,16.9979,1,164,165
19:00:00,4,0,1,2,15.58,19.695,76,0,15,337,352
5:00:00,3,0,1,1,28.7,32.575,65,6.0032,5,25,30
0:00:00,4,0,1,2,13.12,16.665,66,7.0015,7,58,65
3:00:00,3,0,1,1,24.6,29.545,73,12.998,1,6,7
23:00:00,3,0,0,1,29.52,34.09,66,16.9979,19,53,72
4:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
20:00:00,4,0,1,1,21.32,25,77,11.0014,18,228,246
4:00:00,2,0,0,2,14.76,18.18,93,7.0015,3,2,5
2:00:00,4,0,1,2,12.3,14.395,49,15.0013,1,5,6
4:00:00,2,0,1,3,15.58,19.695,94,22.0028,1,2,3
7:00:00,2,0,1,2,20.5,24.24,100,0,18,239,257
12:00:00,1,0,0,1,9.84,10.605,41,19.0012,29,75,104
0:00:00,1,0,0,1,10.66,12.88,70,12.998,2,37,39
13:00:00,2,0,1,1,30.34,34.09,62,19.0012,48,156,204
8:00:00,1,0,1,2,10.66,15.15,100,0,4,516,520
23:00:00,2,0,1,1,18.04,21.97,82,8.9981,27,93,120
10:00:00,2,0,1,3,22.14,25.76,88,19.0012,33,73,106
20:00:00,3,0,0,1,29.52,32.575,45,0,96,204,300
2:00:00,4,0,1,2,21.32,25,94,8.9981,1,4,5
22:00:00,4,0,0,2,21.32,25,94,0,48,104,152
20:00:00,4,0,1,3,22.14,25.76,94,7.0015,9,81,90
23:00:00,3,0,1,1,28.7,33.335,84,6.0032,24,126,150
14:00:00,3,0,1,2,32.8,39.395,63,23.9994,53,163,216
0:00:00,1,0,0,1,14.76,18.94,66,0,5,43,48
9:00:00,1,0,0,1,9.02,12.12,80,7.0015,22,116,138
14:00:00,3,0,0,1,31.16,34.09,40,12.998,213,366,579
10:00:00,4,0,1,2,20.5,24.24,63,19.0012,26,85,111
7:00:00,4,0,1,1,12.3,16.665,87,0,0,300,300
18:00:00,2,0,1,1,29.52,33.335,51,26.0027,93,290,383
22:00:00,4,0,1,1,10.66,11.365,56,22.0028,15,120,135
12:00:00,1,0,0,2,10.66,12.88,65,12.998,25,223,248
10:00:00,4,0,1,2,15.58,19.695,87,6.0032,15,120,135
18:00:00,4,0,0,2,14.76,17.425,81,12.998,16,158,174
12:00:00,1,0,0,1,18.04,21.97,18,32.9975,38,81,119
13:00:00,3,0,1,1,24.6,31.06,40,16.9979,55,234,289
12:00:00,2,0,1,1,27.06,31.06,27,19.0012,51,208,259
21:00:00,2,0,1,1,20.5,24.24,42,12.998,19,211,230
9:00:00,4,0,1,2,16.4,20.455,87,0,11,271,282
19:00:00,1,0,0,1,13.94,15.15,29,23.9994,5,54,59
18:00:00,4,0,1,1,12.3,15.15,36,11.0014,16,312,328
21:00:00,4,0,0,3,14.76,18.18,87,7.0015,3,53,56
0:00:00,4,0,0,1,20.5,24.24,63,26.0027,24,106,130
14:00:00,3,0,1,1,33.62,36.365,38,11.0014,71,171,242
8:00:00,4,0,1,2,22.96,26.515,90,11.0014,23,186,209
2:00:00,3,0,1,1,24.6,28.79,78,0,2,0,2
21:00:00,3,1,0,1,34.44,40.15,53,8.9981,222,362,584
18:00:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
21:00:00,2,0,1,1,27.06,31.06,50,7.0015,83,250,333
7:00:00,3,1,0,1,27.06,30.305,83,8.9981,17,19,36
19:00:00,3,0,1,1,34.44,41.665,59,22.0028,80,293,373
10:00:00,3,0,1,1,25.42,30.305,61,8.9981,57,148,205
18:00:00,1,0,1,1,13.94,15.15,42,22.0028,15,442,457
10:00:00,1,0,0,2,17.22,21.21,88,7.0015,139,212,351
1:00:00,2,0,0,1,20.5,24.24,48,0,20,84,104
3:00:00,1,0,0,1,11.48,14.395,65,7.0015,3,15,18
21:00:00,4,0,0,1,14.76,17.425,71,15.0013,17,71,88
21:00:00,1,0,1,1,24.6,31.06,43,26.0027,27,206,233
11:00:00,3,0,1,1,34.44,36.365,32,27.9993,32,96,128
23:00:00,3,0,1,1,30.34,35.605,74,6.0032,27,139,166
4:00:00,2,0,0,2,22.14,25.76,52,0,2,10,12
11:00:00,2,0,1,1,26.24,31.06,57,0,56,129,185
7:00:00,3,0,0,2,27.06,29.545,89,12.998,4,20,24
0:00:00,3,0,1,1,22.96,26.515,88,6.0032,5,11,16
18:00:00,1,0,0,1,25.42,31.06,57,19.9995,221,339,560
8:00:00,3,1,0,1,28.7,32.575,61,7.0015,43,110,153
17:00:00,1,0,1,1,28.7,31.82,28,6.0032,140,642,782
19:00:00,4,0,1,1,13.94,17.425,71,6.0032,30,331,361
19:00:00,2,0,0,2,24.6,30.305,64,11.0014,117,266,383
22:00:00,2,0,1,2,12.3,13.635,93,19.9995,9,42,51
16:00:00,1,0,0,1,20.5,24.24,31,26.0027,175,129,304
21:00:00,1,0,1,2,17.22,21.21,58,19.0012,3,75,78
13:00:00,4,0,1,2,22.14,25.76,94,19.0012,20,86,106
7:00:00,2,0,0,1,26.24,29.545,78,7.0015,7,27,34
13:00:00,1,0,1,1,16.4,20.455,43,19.0012,16,188,204
11:00:00,4,0,1,1,24.6,31.06,46,19.0012,32,138,170
13:00:00,3,0,1,2,27.88,31.82,65,8.9981,72,207,279
19:00:00,1,0,1,1,25.42,30.305,61,15.0013,86,463,549
1:00:00,3,0,0,2,25.42,28.03,88,0,22,66,88
10:00:00,4,0,1,1,27.06,31.06,54,0,68,192,260
20:00:00,2,0,0,1,25.42,31.06,46,11.0014,113,174,287
4:00:00,3,0,1,1,22.14,25.76,77,0,1,11,12
13:00:00,4,0,1,2,22.14,25.76,49,8.9981,73,237,310
16:00:00,2,0,0,1,28.7,31.82,34,19.9995,226,436,662
9:00:00,1,0,0,1,6.56,9.09,64,8.9981,5,38,43
11:00:00,4,0,1,2,18.86,22.725,67,26.0027,9,99,108
2:00:00,2,0,1,1,22.96,26.515,94,7.0015,2,11,13
15:00:00,4,0,0,1,25.42,31.06,31,32.9975,166,211,377
14:00:00,4,0,1,1,23.78,27.275,53,16.9979,27,156,183
6:00:00,4,0,1,1,20.5,24.24,55,16.9979,7,107,114
20:00:00,2,0,1,1,23.78,27.275,83,0,31,167,198
16:00:00,2,0,1,1,31.16,32.575,22,35.0008,59,130,189
15:00:00,1,0,1,1,21.32,25,42,16.9979,30,95,125
2:00:00,3,0,0,1,27.06,29.545,89,0,28,56,84
3:00:00,4,0,1,2,10.66,14.395,70,6.0032,0,2,2
23:00:00,4,0,1,1,14.76,17.425,53,11.0014,10,50,60
5:00:00,4,0,1,2,15.58,19.695,87,0,0,24,24
22:00:00,4,0,1,1,16.4,20.455,82,0,21,116,137
22:00:00,3,1,0,2,30.34,34.09,62,8.9981,115,211,326
23:00:00,2,0,1,1,18.86,22.725,88,16.9979,12,69,81
19:00:00,1,0,1,3,18.04,21.97,0,39.0007,5,51,56
6:00:00,3,0,1,1,24.6,28.79,78,11.0014,3,162,165
6:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
12:00:00,1,0,0,1,12.3,13.635,39,31.0009,27,93,120
11:00:00,4,0,0,1,18.86,22.725,59,8.9981,180,324,504
11:00:00,2,0,1,2,17.22,21.21,82,12.998,4,57,61
23:00:00,4,0,1,1,13.94,15.15,46,23.9994,5,82,87
19:00:00,1,0,1,1,13.94,15.91,53,15.0013,18,143,161
7:00:00,4,0,0,1,10.66,13.635,87,7.0015,14,57,71
0:00:00,3,0,0,2,26.24,30.305,73,7.0015,22,65,87
6:00:00,4,0,0,2,9.84,12.12,93,8.9981,1,15,16
2:00:00,3,1,0,1,27.06,29.545,89,7.0015,10,30,40
21:00:00,4,0,1,2,22.14,25.76,68,8.9981,28,178,206
4:00:00,4,0,0,2,9.84,12.88,87,7.0015,1,5,6
18:00:00,1,0,1,3,13.94,16.665,87,8.9981,8,345,353
0:00:00,2,0,0,1,26.24,31.06,57,6.0032,23,90,113
9:00:00,4,0,1,3,18.04,21.97,100,16.9979,0,64,64
21:00:00,1,0,1,2,5.74,7.575,86,11.0014,0,83,83
17:00:00,4,0,1,1,22.96,26.515,60,26.0027,55,530,585
12:00:00,2,0,1,1,34.44,37.88,44,8.9981,40,167,207
11:00:00,1,0,1,2,18.04,21.97,77,0,40,167,207
12:00:00,4,0,0,2,16.4,20.455,62,12.998,78,243,321
10:00:00,4,0,0,1,21.32,25,77,0,120,217,337
16:00:00,2,0,0,2,28.7,31.82,21,12.998,254,337,591
11:00:00,2,0,1,2,28.7,33.335,74,19.0012,42,193,235
5:00:00,3,0,0,2,27.06,29.545,94,16.9979,2,13,15
5:00:00,4,0,1,1,13.12,16.665,81,8.9981,1,27,28
7:00:00,2,0,1,1,19.68,23.485,63,16.9979,16,221,237
15:00:00,1,0,1,1,22.14,25.76,19,27.9993,19,91,110
4:00:00,4,0,1,1,18.04,21.97,88,0,1,4,5
5:00:00,2,0,1,1,13.12,15.15,53,22.0028,0,23,23
17:00:00,3,0,0,3,32.8,37.12,49,56.9969,181,177,358
8:00:00,1,0,1,2,4.92,6.06,50,19.0012,4,184,188
15:00:00,2,0,1,2,18.04,21.97,72,19.0012,12,69,81
9:00:00,2,0,1,1,25.42,30.305,65,11.0014,58,308,366
20:00:00,4,0,1,2,9.84,12.88,60,7.0015,5,222,227
13:00:00,2,0,1,1,18.04,21.97,33,22.0028,173,238,411
4:00:00,3,0,1,2,27.88,31.82,89,0,0,7,7
18:00:00,4,0,0,1,11.48,13.635,45,12.998,15,123,138
14:00:00,2,0,1,2,26.24,30.305,73,12.998,39,145,184
17:00:00,3,0,1,3,31.16,36.365,66,16.9979,78,734,812
5:00:00,2,0,1,1,9.84,12.88,70,7.0015,1,12,13
19:00:00,3,0,1,2,28.7,32.575,70,7.0015,44,337,381
5:00:00,4,0,1,1,6.56,11.365,80,0,0,21,21
7:00:00,2,0,0,2,18.86,22.725,82,0,8,15,23
9:00:00,2,0,0,2,24.6,28.79,78,12.998,53,111,164
17:00:00,4,0,1,1,22.96,26.515,64,8.9981,80,540,620
6:00:00,3,0,0,1,27.88,31.82,79,0,13,23,36
4:00:00,3,0,0,1,18.86,22.725,72,8.9981,1,4,5
11:00:00,2,0,1,2,25.42,31.06,59,19.9995,45,156,201
17:00:00,1,0,1,1,18.04,21.97,35,12.998,15,494,509
18:00:00,3,0,0,2,33.62,38.635,52,0,184,258,442
18:00:00,3,0,1,1,26.24,31.06,36,11.0014,110,767,877
8:00:00,1,0,0,2,17.22,21.21,88,7.0015,25,71,96
15:00:00,3,0,1,1,25.42,31.06,35,0,57,254,311
14:00:00,1,0,1,2,11.48,13.635,45,11.0014,15,76,91
23:00:00,1,0,1,1,14.76,17.425,40,12.998,10,72,82
11:00:00,2,0,1,1,24.6,31.06,33,27.9993,65,174,239
13:00:00,3,0,1,1,35.26,40.91,50,16.9979,22,119,141
1:00:00,1,0,1,1,16.4,20.455,62,16.9979,4,12,16
17:00:00,2,0,1,1,30.34,32.575,28,7.0015,83,555,638
15:00:00,2,0,1,1,32.8,35.605,41,23.9994,72,187,259
23:00:00,4,0,1,1,18.86,22.725,63,15.0013,9,72,81
12:00:00,4,0,1,1,11.48,14.395,52,7.0015,7,138,145
22:00:00,2,0,1,2,23.78,27.275,60,26.0027,14,99,113
21:00:00,4,0,0,2,12.3,15.91,61,6.0032,5,104,109
16:00:00,2,0,0,2,31.16,34.85,52,15.0013,193,275,468
16:00:00,1,0,1,1,10.66,11.365,41,22.0028,8,185,193
1:00:00,3,0,0,2,27.88,31.82,57,6.0032,13,64,77
15:00:00,4,1,0,1,22.96,26.515,64,16.9979,102,280,382
0:00:00,3,0,1,2,32.8,37.12,49,11.0014,11,32,43
19:00:00,4,0,1,1,19.68,23.485,67,15.0013,46,414,460
19:00:00,4,0,1,1,18.04,21.97,72,7.0015,12,292,304
5:00:00,2,0,1,1,21.32,25,100,15.0013,0,9,9
18:00:00,4,0,0,1,26.24,31.06,50,7.0015,186,228,414
21:00:00,1,0,1,1,8.2,10.605,59,8.9981,1,46,47
0:00:00,1,0,1,1,13.12,17.425,57,0,0,22,22
14:00:00,1,0,1,1,21.32,25,36,22.0028,38,137,175
8:00:00,2,0,1,2,24.6,29.545,69,8.9981,24,364,388
21:00:00,3,0,1,1,31.16,35.605,62,0,53,266,319
3:00:00,1,0,0,2,9.84,12.12,75,11.0014,1,10,11
7:00:00,3,0,1,2,22.14,25.76,83,23.9994,6,166,172
19:00:00,3,0,1,2,20.5,24.24,55,11.0014,59,256,315
9:00:00,4,0,1,1,20.5,24.24,39,19.9995,26,374,400
14:00:00,3,0,1,1,28.7,31.82,37,11.0014,78,200,278
1:00:00,4,0,1,2,16.4,20.455,87,0,1,10,11
11:00:00,3,0,1,2,29.52,34.09,62,16.9979,41,112,153
23:00:00,2,0,1,2,20.5,24.24,77,16.9979,21,77,98
5:00:00,2,0,1,2,24.6,31.06,56,16.9979,0,40,40
23:00:00,3,0,0,1,22.96,26.515,52,19.0012,22,70,92
11:00:00,1,0,1,2,14.76,16.665,34,23.9994,17,170,187
18:00:00,2,0,1,1,24.6,30.305,26,11.0014,139,661,800
0:00:00,1,0,0,1,14.76,17.425,50,11.0014,2,77,79
22:00:00,3,0,0,2,27.88,31.82,83,26.0027,36,118,154
17:00:00,1,0,0,2,19.68,23.485,48,11.0014,36,75,111
7:00:00,3,0,1,1,31.98,34.85,46,8.9981,20,333,353
2:00:00,2,0,1,1,21.32,25,59,0,6,4,10
9:00:00,3,0,1,1,31.98,37.12,59,19.9995,41,167,208
5:00:00,3,0,1,2,26.24,28.79,89,22.0028,3,45,48
18:00:00,2,0,0,2,25.42,31.06,35,15.0013,197,284,481
11:00:00,2,0,1,2,23.78,27.275,81,8.9981,39,145,184
15:00:00,2,0,1,3,25.42,29.545,73,16.9979,40,94,134
8:00:00,2,0,1,1,23.78,27.275,49,26.0027,45,441,486
20:00:00,1,0,1,1,9.02,11.365,55,8.9981,2,61,63
17:00:00,2,0,1,1,22.96,26.515,60,7.0015,39,372,411
14:00:00,2,0,1,1,20.5,24.24,31,22.0028,74,150,224
12:00:00,3,0,0,1,31.16,35.605,58,15.0013,214,332,546
9:00:00,1,0,0,2,18.04,21.97,88,6.0032,104,217,321
3:00:00,4,0,0,2,18.04,21.97,62,8.9981,5,17,22
13:00:00,3,0,1,1,32.8,35.605,41,12.998,38,138,176
13:00:00,3,0,0,1,28.7,32.575,65,15.0013,153,200,353
15:00:00,2,0,0,2,18.86,22.725,33,0,174,118,292
23:00:00,2,0,1,1,21.32,25,23,27.9993,19,112,131
17:00:00,1,0,1,2,8.2,9.85,40,12.998,9,272,281
15:00:00,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
5:00:00,1,0,1,1,13.94,14.395,46,35.0008,0,29,29
2:00:00,1,0,1,1,20.5,24.24,59,0,14,5,19
17:00:00,1,0,1,1,18.86,22.725,33,40.9973,25,218,243
22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
5:00:00,1,0,1,1,2.46,5.305,45,7.0015,0,7,7
13:00:00,3,0,1,1,28.7,31.82,42,0,60,223,283
20:00:00,1,0,1,2,13.94,15.91,71,19.0012,9,79,88
5:00:00,1,0,1,1,8.2,9.85,47,12.998,0,5,5
19:00:00,2,0,0,2,21.32,25,94,27.9993,9,62,71
18:00:00,4,0,1,1,13.12,16.665,42,7.0015,20,446,466
14:00:00,2,0,1,2,28.7,32.575,58,35.0008,36,122,158
15:00:00,3,0,1,1,35.26,39.395,41,16.9979,47,119,166
21:00:00,1,1,0,2,9.84,10.605,41,22.0028,3,63,66
8:00:00,4,0,0,1,12.3,14.395,75,16.9979,19,100,119
20:00:00,1,0,0,1,22.96,26.515,64,12.998,89,182,271
2:00:00,1,0,0,1,9.84,12.88,70,6.0032,6,38,44
1:00:00,4,0,1,2,18.04,21.97,94,8.9981,0,15,15
14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
15:00:00,1,0,1,1,22.96,26.515,40,8.9981,74,159,233
23:00:00,1,0,1,1,12.3,14.395,52,16.9979,3,34,37
10:00:00,1,0,0,1,12.3,15.91,81,7.0015,18,52,70
2:00:00,4,0,1,1,8.2,12.88,80,0,1,1,2
20:00:00,2,0,1,1,27.06,31.06,65,16.9979,61,398,459
9:00:00,4,0,1,1,16.4,20.455,66,11.0014,16,206,222
0:00:00,1,0,1,1,18.04,21.97,72,19.0012,12,20,32
8:00:00,4,0,0,1,13.12,17.425,76,0,16,130,146
